character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Deanas & Daenas Croc","2018",1,0,1
"The Crypt Keeper","2023",0,1,1
"Chance the Slam Poet","2013",0,1,1
"Emil","2020",0,1,1
"Ian Fleming","2014",0,1,1
"Jewel's","2014",0,1,1
"Lyle Cummings","2018",1,0,1
"Leanne Mutch","2022",0,1,1
"Vince","2013",0,1,1
"Buck Reilly","2020",0,1,1
"Dr. Ping Pong Jones","2013",0,1,1
"Get In The Way Gremlin","2019",0,1,1
"Eric Jonrosh","2014",1,0,1
"John Lennon","2016",2,11,13
"Mario","2020",0,1,1
"Amanda Calzone","2016",0,1,1
"Jerald ""T-Bones"" Tibbons","2010",0,1,1
"Ghost Mother","2017",0,1,1
"Richard Harrow's Ghost","2013",1,2,3
"Andi","2023",0,1,1
"Margarite Shoes","2018",0,1,1
"Frida Corpse","2017",0,1,1
"Doug Doyzoice","2015",0,1,1
"Kevin Attenborough","2022",0,1,1
"Paul Luzak","2012",0,1,1
"Testarossa Manigault","2017",0,1,1
"Lester Gayle","2019",0,1,1
"Étouffée","2019",1,1,2
"Derrick the Diner Marshall","2011",0,1,1
"Jim the Shim","2020",0,1,1
"Mike Ruby","2021",2,1,3
"Burnt Millipede","2020",0,1,1
"Ozzie Patinkin","2011",0,1,1
"A.J. Christopher","2009",0,1,1
"Thor Silverblatt","2014",0,1,1
"Gobo Bergentrack","2017",1,0,1
"Jerry Major","2020",1,0,1
"Barb Nuts","2023",0,1,1
"Lord Denethor","2016",0,1,1
"Bertrand ""Sweet Sauce"" Gilmore","2018",0,1,1
"Joe France's","2013",0,1,1
"Daveed Eros","2012",0,1,1
"Dr. Helma Plinkton","2022",0,1,1
"The Sun Dialer","2016",0,1,1
"Big Chunky Bubbles","2016",2,1,3
"Bjork","2009",1,0,1
"Coco Marx","2013",0,1,1
"George St. Geegland","2015",2,0,2
"Todd","2016",1,6,7
"Leila","2023",0,1,1
"Larry Blackmon","2022",0,1,1
"Lil' Gary","2009",1,0,1
"Becky","2019",0,2,2
"Larry the Loner","2016",0,1,1
"Big Dog","2018",1,0,1
"Marvin Phelps","2016",0,1,1
"Ming","2018",0,1,1
"Hot Dog","2016",1,0,1
"Werner Herzog","2016",0,3,3
"Bane","2023",0,1,1
"Ned Belanela","2023",0,1,1
"MC Sugar Butt","2019",0,2,2
"Kimmy","2014",1,0,1
"Charles Barkley","2012",0,1,1
"Zin Bradley","2015",0,1,1
"Doug Gropes","2017",0,2,2
"Dash Grabum","2020",0,1,1
"Bashford and Franklin","2018",1,0,1
"Dalton Wilcox","2018",0,1,1
"John Lennon","2018",1,2,3
"Cake Boss","2013",0,4,4
"Robert De Niro Impersonator","2012",0,1,1
"Bisby St. Hancock","2020",1,0,1
"Sylvester Stallone","2016",0,1,1
"Stanley Chamberlin","2022",0,1,1
"Merrill Shindler","2013",1,1,2
"George St. Geegland","2016",1,0,1
"Pastor Pasta","2023",0,1,1
"Bob Ducca","2011",0,2,2
"Al A. Peterson","2019",0,1,1
"James Gandolfini","2009",0,1,1
"MC Sugar Butt","2017",1,1,2
"Billy Crystal","2009",0,1,1
"Gil Faizon","2011",0,1,1
"David","2016",0,1,1
"JW Stillwater","2017",0,1,1
"Donald Trump","2016",0,1,1
"Jarles","2016",0,2,2
"Paul Giamatti","2012",0,2,2
"Sylvester Stallone","2014",0,1,1
"Gary Urbansky","2017",1,1,2
"Bob Ducca","2020",0,1,1
"Hot Dog","2018",1,0,1
"Seth Berkowitz","2019",0,1,1
"Don DiMello","2013",1,1,2
"Charles Barkley","2021",1,0,1
"Jarles","2015",2,2,4
"Morpheus, The Dream Lord","2022",0,1,1
"Sylvester Stallone","2015",0,1,1
"Lord Andrew Lloyd Webber","2016",2,3,5
"Gary Urbansky","2019",0,1,1
"Tiny","2013",0,1,1
"Margery Kershaw","2022",0,1,1
"Al A. Peterson","2017",0,1,1
"Werner Herzog","2014",0,1,1
"Stacey Keeks","2016",0,1,1
"John Lennon","2015",2,3,5
"Kayla Dickie","2019",0,1,1
"Beth","2022",0,1,1
"Dagmar the Small","2023",0,1,1
"O. J. Simpson","2021",0,1,1
"Regina Crimp","2013",0,1,1
"Garry Marshall","2011",1,1,2
"Ghost Boy","2011",0,1,1
"Leo Karpatze","2017",0,1,1
"Lil' Gary","2013",0,1,1
"Werner Herzog","2015",1,0,1
"Ice-T","2012",0,2,2
"Doug Gropes","2019",0,1,1
"Dalton Wilcox","2016",0,1,1
"Lord Andrew Lloyd Webber","2015",1,1,2
"Hot Dog","2014",1,0,1
"Todd","2014",1,0,1
"Todd","2015",0,1,1
"JW Stillwater","2019",0,1,1
"Dalton Wilcox","2014",1,0,1
"Lord Andrew Lloyd Webber","2014",1,1,2
"Pierre","2016",0,1,1
"Calvin Redding","2016",1,1,2
"Dusty","2021",0,1,1
"Barzelona Marriott","2014",0,1,1
"Chauncey Pippins","2019",0,1,1
"Giuseppe Spaghetti","2019",0,1,1
"Tayleigh Lopez","2019",0,1,1
"Mama Bread","2019",0,1,1
"Shannon","2020",0,1,1
"Ruben Stone","2021",0,1,1
"Devin O'Shea","2018",0,1,1
"Patricia Primm","2017",0,1,1
"Ichabod Gordy Bradbury","2019",0,1,1
"Dash Griswold","2020",0,1,1
"LaMary","2016",0,1,1
"Mitch Slocum","2018",1,0,1
"Cal Shipsby","2009",0,1,1
"Irvin Kershner","2016",0,1,1
"Dame Doody Stench","2017",0,1,1
"Will Crowe","2018",0,1,1
"Rabbi Bill Walton","2021",1,0,1
"Telli Charcuterie","2023",0,1,1
"Oopsie Spider-Man","2023",0,1,1
"Phil Collins","2015",1,0,1
"Mizz Chips","2016",0,1,1
"Piggy Sorebacks","2020",0,1,1
"Denny Simpson","2019",0,1,1
"Johnny Salese","2019",0,1,1
"Phineas T. Johnson","2014",0,1,1
"Stacy Buzzaba","2022",1,0,1
"Henry Sames","2021",1,0,1
"Chad Teaser","2015",0,1,1
"Mirk","2023",0,1,1
"Baby","2012",0,1,1
"Trombone Shitty","2019",0,1,1
"Entrée PeeE Neur","2020",2,0,2
"August Lindt","2011",0,1,1
"Neptuna","2016",0,1,1
"Huell Howser","2010",3,3,6
"Billy Neville","2017",0,1,1
"Brent Finley","2021",0,1,1
"Winnie the Whiny Baby","2010",0,1,1
"Gwendolyn Speck","2017",0,1,1
"Hayley Shields","2015",1,0,1
"Sister Margaret","2023",0,1,1
"Aaron Neville","2014",0,1,1
"Brandon Potter","2017",0,1,1
"Clovis Mandrake","2018",0,1,1
"Candide Baxter","2021",1,0,1
"Sabrina","2020",1,0,1
"Hekla Jonsdottir","2018",0,1,1
"Jim Pipe","2009",0,1,1
"Dabney Coleperson","2018",0,1,1
"Prudence Farth","2018",1,0,1
"Werner Herzog","2012",0,4,4
"Clayton Purdy","2015",0,1,1
"Diane Templeton","2018",0,1,1
"Mr. Toots","2022",0,1,1
"Jennifer Tilly","2011",0,1,1
"Maximilian Blanc","2012",0,1,1
"Jonathan Woodley","2017",0,1,1
"Vernita Wyatt","2017",0,1,1
"Glenn Maxx","2012",0,1,1
"Cam Paxton","2017",0,1,1
"Silly Boy","2023",0,1,1
"Rick Rubin","2023",0,1,1
"Burgey Sullenberger","2020",1,0,1
"Jason Turley","2017",0,1,1
"Bill Cosby","2009",1,0,1
"The Artful Dodger","2019",0,1,1
"Tina Tiny","2019",0,1,1
"Dr. Sturgeon the Rock n Roll Surgeon","2022",1,0,1
"Queth Wompler","2015",0,1,1
"XJR&","2014",0,1,1
"Berry","2018",0,1,1
"The Flagen Sisters","2015",0,1,1
"Raul DeLaMancha","2018",0,1,1
"Pants the Rapper","2017",0,1,1
"Tina","2021",0,1,1
"Tony B.","2016",0,1,1
"Dr. Conrad Murray","2015",1,0,1
"George Lucas","2016",0,1,1
"Douglas Speaker","2020",0,1,1
"Cockroach Rick","2023",0,1,1
"Andy Manders","2021",1,0,1
"Nance","2018",0,1,1
"Kareem","2013",1,0,1
"Dickie Caroline's","2020",0,1,1
"Frank Dorito","2016",0,3,3
"The Contraptionaire","2018",0,1,1
"Mick 4D","2018",0,1,1
"The Tab Guys","2013",0,1,1
"Wendy Quote The Worm Endquote Widelman","2016",0,1,1
"Harland Haywood","2019",2,1,3
"Sawyer Junior","2022",0,1,1
"Sam Poppers","2019",0,1,1
"Robbie","2013",0,1,1
"Croach the Tracker","2014",0,1,1
"Phil Shorts","2018",0,1,1
"John C. Reilly","2010",3,0,3
"Nancy K","2015",0,1,1
"Julie Penzmere","2010",1,0,1
"Pam Tran","2018",0,1,1
"Jonas Kings","2022",0,1,1
"Markis Campbell","2014",0,1,1
"Bernie Sanders","2016",0,1,1
"Shadow Vision","2023",0,1,1
"Rick Faber","2013",0,2,2
"Gishel Bergentrack","2017",1,0,1
"Shaliyah","2018",0,1,1
"Shelby Orangina","2013",0,1,1
"James McDowell","2010",0,1,1
"The Wacky Ding Dongs","2010",0,1,1
"Taylor Stephanie","2023",0,1,1
"Cam Billmoth","2013",0,1,1
"Ralph McElvany","2012",0,1,1
"Joel Spanaducci","2020",0,1,1
"Brenda Tattletale","2021",0,1,1
"Maximilian McSillystein","2019",0,1,1
"Harry Footman","2023",0,1,1
"Hooch the Mooch","2014",0,1,1
"Still Tantin","2020",0,1,1
"Matthew","2018",0,1,1
"Keith Jones","2017",2,0,2
"Howard Amethyst","2014",0,1,1
"Frankenstein","2020",1,0,1
"Pastor Peter Pool Boy","2020",1,0,1
"Jud Wiebe","2019",0,1,1
"Philip Seymour Hoffman","2013",0,1,1
"The Harpie Sisters","2015",0,1,1
"Janet","2023",0,1,1
"Ryan Headboard","2023",0,1,1
"Grandma Levon","2010",0,1,1
"Harry Houdini","2010",0,1,1
"Representative Buford Dorsey","2013",0,1,1
"Traci Rearden","2014",3,3,6
"Margie Donk","2017",0,1,1
"The Bachelor Brothers","2014",1,1,2
"Mizz Chips","2014",0,1,1
"Batman","2022",0,1,1
"Kelly Burton","2017",0,1,1
"Jesse Ventura","2011",0,2,2
"Lord Shitqueef","2013",0,1,1
"Sappity Tappity","2011",0,1,1
"Dale","2012",0,1,1
"Cal Solomon","2019",0,2,2
"Bean Dip","2019",1,0,1
"Antonio Lambrinidis","2022",0,1,1
"Cherry the C.H.U.D.","2017",0,1,1
"Charles Manson","2018",1,0,1
"John Daly","2016",0,1,1
"Donald Trump","2021",0,1,1
"Robert Whistler","2019",0,1,1
"Paul Giamatti","2014",0,1,1
"Santa Claus","2020",1,0,1
"Bernie Sanders","2015",0,2,2
"Eugenia Wobbles","2018",1,0,1
"Harry Footman","2022",0,1,1
"Chitter Chitter Cluck Click","2019",1,0,1
"Tito Ben","2013",0,1,1
"Bjork","2019",0,1,1
"Lord Andrew Lloyd Webber","2012",1,2,3
"The Chief","2017",2,2,4
"Henry Heimlich","2020",0,1,1
"August Lindt","2020",2,0,2
"Francesca Bolognese","2021",1,0,1
"Bro","2022",1,0,1
"Bueford LeBaron","2010",0,1,1
"The Contraptionaire","2016",1,0,1
"Rudi North","2018",2,3,5
"Dalton Wilcox","2021",4,0,4
"Bill Walton","2023",0,2,2
"Leo Karpatze","2013",0,1,1
"Yohan Breitbark","2023",0,1,1
"Darren Matichek","2023",0,1,1
"Batman","2023",0,1,1
"Brantley Aldean","2022",0,1,1
"Fabrice Fabrice","2015",1,0,1
"Jack Furz","2022",1,0,1
"Regina Crimp","2019",0,1,1
"Sprague The Whisperer","2023",0,1,1
"El Chupacabra","2010",1,3,4
"Messmore LeBaron","2011",0,1,1
"George St. Geegland","2012",1,0,1
"Shelly Driftwood","2013",0,1,1
"Albert Roe","2020",0,2,2
"The Chief","2019",1,4,5
"Regina Crimp","2017",1,0,1
"Paul Giamatti","2016",0,1,1
"Bill Walton","2022",1,3,4
"Marissa Wompler","2010",0,1,1
"Bever Hopox","2020",1,0,1
"Traci Rearden","2015",0,1,1
"Darren Matichek","2022",0,1,1
"Lil' Gary","2019",0,1,1
"Hot Dog","2021",2,0,2
"Sprague The Whisperer","2022",0,1,1
"Traci Rearden","2016",1,2,3
"Tiny","2017",0,1,1
"Dalton Wilcox","2012",1,0,1
"The Time Keeper","2017",0,1,1
"Cal Solomon","2017",1,0,1
"Mike the Janitor","2022",0,1,1
"Cake Boss","2017",1,0,1
"Cake Boss","2019",0,1,1
"Justin the Pickup Artist","2022",0,1,1
"John Lennon","2021",1,0,1
"Gino Lombardo","2022",1,2,3
"Lord Andrew Lloyd Webber","2021",0,1,1
"Gino Lombardo","2023",0,1,1
