character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Inés Blarfi","2017",0,1,1
"Chucky Spliff","2017",1,0,1
"Shaden Gallbreath","2020",0,1,1
"Professor Stillwater","2015",0,1,1
"Bad Daddy Vlad","2015",0,1,1
"Margery Kershaw","2020",0,1,1
"Tyren Bigsby","2017",0,1,1
"Mark Orlando","2012",0,1,1
"Charlie “Burgey” Sullenberger","2020",1,1,2
"Arthur Steinborn","2012",0,1,1
"Shooter","2009",1,0,1
"The Bachelor Brothers","2013",1,0,1
"Jean Claude Pepi","2015",1,0,1
"Lindsey Cumdrop","2017",0,1,1
"Becky","2018",0,2,2
"Whitney Peeps","2016",0,3,3
"Orph Bergentrack","2017",1,0,1
"Dame Judi Dench","2020",0,1,1
"Bob Ducca","2010",1,5,6
"Al A. Peterson","2018",1,0,1
"James Cameron","2021",0,1,1
"Lane Driver","2021",0,1,1
"Danny Trejo Jr.","2018",0,1,1
"Janelle & Jolene Johnson","2013",0,1,1
"Santa","2016",0,2,2
"The Washington Monugents","2016",0,1,1
"Burt & Rauro Riley","2017",1,0,1
"Irena Stinchen","2010",0,1,1
"Girdle","2017",0,1,1
"Roman D’O’Grots","2018",0,1,1
"David Fiene","2011",0,1,1
"Scarsdale","2015",1,0,1
"Dick Butterfield","2015",0,1,1
"Spike and Ike Minksalmon","2022",1,1,2
"Banksy","2013",0,1,1
"Zoobi Condarino","2021",1,0,1
"Janice Caaf","2010",0,1,1
"Melissa","2018",0,1,1
"Orson Welles' Ghost","2012",0,1,1
"Jack Sjunior","2011",0,2,2
"Susan Christmas","2023",0,1,1
"Dr. Brian Blouse","2016",0,1,1
"Lang Armstrong","2017",0,1,1
"Nikki Sixx","2019",0,1,1
"Erma","2011",0,1,1
"Sebastian Yadagascar","2017",0,1,1
"Danielle Steel","2015",0,1,1
"Toph Shay","2012",1,0,1
"Stormy Kirkland","2023",0,1,1
"Jill Noll","2020",1,0,1
"Curious Latina","2011",0,1,1
"Sissy Montgomery","2017",0,1,1
"CJTETHEMAN9888_UNLIMITED","2022",0,1,1
"Trabitha Tarteen","2015",0,2,2
"Tater","2019",0,1,1
"Shemp A.","2019",0,1,1
"Don DiMello","2012",0,1,1
"Little Dammit Man","2016",0,1,1
"George Zimmer","2014",0,1,1
"Roland Gift","2020",1,0,1
"Wolfgang Puck","2021",0,1,1
"Don Donaldson","2017",1,0,1
"Jermaine Jones","2012",0,1,1
"Maximilian Lugner","2015",0,1,1
"Murf","2020",0,1,1
"Tierna Smarg","2023",0,1,1
"Jenfer Beudon","2015",0,1,1
"Dr. Bronner","2012",0,1,1
"Captain Moustache","2009",0,1,1
"Fourandahalfvel","2016",1,0,1
"JW Stillwater","2016",0,6,6
"Nick Nolte","2012",0,1,1
"Diane","2012",0,1,1
"Noprah","2019",0,1,1
"Uncle Stoney","2015",1,0,1
"Ranger Steve","2015",0,1,1
"Bashford and Franklin","2019",0,1,1
"Jeff Goldblum","2012",0,1,1
"Tracy","2012",1,0,1
"Gary","2020",0,1,1
"Brody Broderson","2018",0,1,1
"Jarles","2017",0,2,2
"Flavio the Greek","2010",0,1,1
"RumpleDimpleScream","2022",0,1,1
"Jack Lusty","2022",0,1,1
"Falkor","2017",0,1,1
"Samir Chakraborty","2018",0,1,1
"Joe Kupso","2019",0,1,1
"Susan & Jacob Brooks","2015",0,1,1
"Charlotte Hornette","2021",1,0,1
"Blind Samuel","2012",0,1,1
"Wade Boggs","2020",0,1,1
"Art Ketel One","2019",0,1,1
"Piper Adoggy","2022",0,1,1
"Uggams the Potato","2021",0,1,1
"Lester Brads","2020",0,1,1
"Fagin Platt","2012",0,1,1
"Dr. Anthony Fauci","2022",0,1,1
"Mutt Taylor","2020",0,1,1
"Papa Johns Misty","2017",0,1,1
"Winston Carmel","2022",0,1,1
"Clev","2020",0,1,1
"Lisa Bartin","2013",0,1,1
"Buck Tango","2021",0,1,1
"Mary Berry","2020",0,1,1
"Griff Hedgley","2020",1,0,1
"Carl","2017",0,1,1
"Gillzy","2012",0,1,1
"Dr. John","2022",1,0,1
"Gregory Smith","2019",0,1,1
"Tina Danish","2017",0,1,1
"Tito Ben","2016",0,1,1
"Voda the Gypsy","2014",0,1,1
"Dr. Martinia Johansson","2017",0,1,1
"Cicilia Chastaman","2019",1,0,1
"Jazz Martin","2009",0,1,1
"Officer Jay Gutwill","2014",0,1,1
"Leo Karpatze","2014",0,1,1
"Detective James P. Garetty","2019",0,1,1
"Dagmar the Small","2020",0,1,1
"Professor Stillwater","2016",0,1,1
"Shelly Driftwood","2016",1,0,1
"Ronna & Beverly","2013",0,1,1
"Ian Bean","2016",0,1,1
"Reverend T.P. Stain","2016",0,1,1
"Italiano Jones","2020",1,0,1
"James Gandolfini","2012",0,1,1
"Aaron Neville","2013",0,1,1
"Scarsdale","2016",0,1,1
"Spike and Ike Minksalmon","2023",0,1,1
"Bill Cosby-Bukowski","2011",0,1,1
"Bryson Tyson","2014",0,1,1
"Justin Hoffman","2017",0,1,1
"Randy Travels","2015",0,1,1
